Treatment,Sex,Hour,Time at bottom (s),Time at surface (s),Total swimming time,# of swimming bouts,Time of longest swim (s),Surface time of longest swim (s),# of swimming bouts reaching surface,% of swimming time at bottom,% of swimming time at surface,% of hour spent swimming,Fraction of swims reaching the surface,Tank,Average time per swim per hour (s),Light mode
Control,Male,1,35,0,35,4,14,0,0,0.978,0,0.978,0,1,9,Light
Control,Male,2,92,1097,1190,3,708,674,2,2.567,30.478,33.044,0.667,1,397,Dark
Control,Male,3,78,2253,2331,4,1814,1752,4,2.16,62.589,64.749,1,1,583,Dark
Control,Male,4,174,964,1139,4,410,265,4,4.844,26.789,31.633,1,1,285,Dark
Control,Male,5,69,1313,1382,6,475,467,6,1.916,36.478,38.393,1,1,230,Dark
Control,Male,6,26,1107,1133,5,481,473,5,0.722,30.756,31.478,1,1,227,Dark
Control,Male,7,0,713,713,3,360,358,3,0,19.811,19.811,1,1,238,Dark
Control,Male,8,20,1423,1443,10,340,336,9,0.556,39.522,40.078,0.9,1,144,Dark
Control,Male,9,26,865,891,3,405,401,3,0.722,24.038,24.76,1,1,297,Dark
Control,Male,10,11,630,640,4,426,424,1,0.299,17.489,17.788,0.25,1,160,Dark
Control,Male,11,22,1050,1071,4,383,378,4,0.6,29.156,29.756,1,1,268,Dark
Control,Male,12,119,988,1107,10,228,224,7,3.3,27.456,30.756,0.7,1,111,Dark
Control,Male,13,557,709,1266,40,429,415,3,15.467,19.7,35.167,0.075,1,32,Dark
Control,Male,14,184,25,210,12,73,0,1,5.122,0.7,5.822,0.083,1,17,Dark
Control,Male,15,0,0,0,0,0,0,0,0,0,0,0,1,0,Light
Control,Female,1,0,0,0,0,0,0,0,0,0,0,0,1,0,Light
Control,Female,2,978,85,1063,43,145,60,2,27.178,2.356,29.533,0.047,1,25,Dark
Control,Female,3,0,3028,3028,14,1092,1080,6,0,84.122,84.122,0.429,1,216,Dark
Control,Female,4,110,3402,3511,8,1311,1288,4,3.044,94.489,97.533,0.5,1,439,Dark
Control,Female,5,223,2453,2676,27,1658,1636,3,6.2,68.144,74.344,0.111,1,99,Dark
Control,Female,6,194,1836,2030,10,1581,1537,6,5.378,51.011,56.389,0.6,1,203,Dark
Control,Female,7,67,3035,3102,6,1706,1690,4,1.867,84.296,86.162,0.667,1,517,Dark
Control,Female,8,142,1776,1918,12,1780,1776,1,3.956,49.322,53.278,0.083,1,160,Dark
Control,Female,9,330,1658,1987,26,1072,1051,2,9.156,46.044,55.2,0.077,1,76,Dark
Control,Female,10,43,719,762,6,736,719,1,1.2,19.978,21.178,0.167,1,127,Dark
Control,Female,11,47,294,341,24,261,255,2,1.292,8.169,9.461,0.083,1,14,Dark
Control,Female,12,297,776,1074,22,473,439,2,8.256,21.567,29.822,0.091,1,49,Dark
Control,Female,13,0,0,0,0,0,0,0,0,0,0,0,1,0,Dark
Control,Female,14,66,0,66,12,16,0,0,1.822,0,1.822,0,1,5,Dark
Control,Female,15,0,0,0,0,0,0,0,0,0,0,0,1,0,Light
Control,Female,1,0,0,0,0,0,0,0,0,0,0,0,1,0,Light
Control,Female,2,998,802,1800,28,492,471,2,27.72,22.278,49.998,0.071,1,64,Dark
Control,Female,3,1330,2171,3501,14,1012,888,10,36.956,60.3,97.256,0.714,1,250,Dark
Control,Female,4,2542,972,3514,15,3514,972,4,70.6,27,97.6,0.267,1,234,Dark
Control,Female,5,1076,2414,3489,4,1954,1770,2,29.878,67.044,96.922,0.5,1,872,Dark
Control,Female,6,809,2562,3371,3,1812,1077,3,22.467,71.161,93.628,1,1,1124,Dark
Control,Female,7,1193,2237,3430,18,898,594,10,33.133,62.144,95.278,0.556,1,191,Dark
Control,Female,8,1102,2261,3363,13,697,682,11,30.602,62.811,93.413,0.846,1,259,Dark
Control,Female,9,1248,2259,3508,18,2046,1600,7,34.678,62.756,97.433,0.389,1,195,Dark
Control,Female,10,1882,1489,3371,15,829,406,12,52.289,41.35,93.639,0.8,1,225,Dark
Control,Female,11,252,1727,1979,13,1573,1512,3,7,47.961,54.961,0.231,1,152,Dark
Control,Female,12,759,2418,3177,6,1705,1688,3,21.078,67.167,88.244,0.5,1,529,Dark
Control,Female,13,238,3471,3709,23,1101,1056,12,6.6,96.422,103.022,0.522,1,161,Dark
Control,Female,14,1598,1750,3347,60,413,406,21,44.378,48.6,92.978,0.35,1,56,Dark
Control,Female,15,0,0,0,0,0,0,0,0,0,0,0,1,0,Light
Control,Male,1,2,0,2,1,2,0,0,0.067,0,0.067,0,2,2,Light
Control,Male,2,555,1064,1619,14,1054,860,3,15.404,29.554,44.959,0.214,2,116,Dark
Control,Male,3,536,2933,3468,1,3468,2933,1,14.883,81.463,96.347,1,2,3468,Dark
Control,Male,4,2,3504,3506,1,3504,3502,1,0.056,97.333,97.389,1,2,3506,Dark
Control,Male,5,23,3311,3333,1,3333,3311,1,0.627,91.959,92.586,1,2,3333,Dark
Control,Male,6,29,3180,3209,1,3209,3180,1,0.808,88.34,89.148,1,2,3209,Dark
Control,Male,7,0,3384,3384,1,3384,3384,1,0,93.991,93.991,1,2,3384,Dark
Control,Male,8,0,3382,3382,1,3382,3382,1,0,93.933,93.933,1,2,3382,Dark
Control,Male,9,5,2601,2606,1,2606,2601,1,0.133,72.256,72.389,1,2,2606,Dark
Control,Male,10,276,2281,2556,18,1286,1267,2,7.656,63.356,71.011,0.111,2,142,Dark
Control,Male,11,0,3395,3395,1,3395,3395,1,0,94.3,94.3,1,2,3395,Dark
Control,Male,12,73,752,825,6,709,686,3,2.033,20.894,22.928,0.5,2,138,Dark
Control,Male,13,0,0,0,0,0,0,0,0,0,0,0,2,0,Dark
Control,Male,14,34,0,34,6,7,0,0,0.956,0,0.956,0,2,6,Dark
Control,Male,15,0,0,0,0,0,0,0,0,0,0,0,2,0,Light
Control,Male,1,269,0,269,18,44,0,0,7.473,0,7.473,0,2,15,Light
Control,Male,2,53,0,53,12,11,0,0,1.462,0,1.462,0,2,4,Dark
Control,Male,3,574,893,1467,26,484,386,11,15.948,24.806,40.753,0.423,2,56,Dark
Control,Male,4,204,1903,2106,11,498,434,9,5.66,52.847,58.507,0.818,2,191,Dark
